EmployeeID,Wage,HiredOn,Branch#,Current status,Position,Role,AvgWorkingHours/Week,ApplicantID,ExitDate,EndDate,TenureDays,TenureMonths,AvgPerfScore,Churned,YearOfBirth,HighestEducationLevel,YearsOfRelevantExperience,PastRelevantExperience,AgeAtHire,FirstPromoDate,EverPromoted,MonthsToPromotion
5280,Minimum,2021-12-27,1,Left,full-time,Bartender,39.3,102985,2023-11-19,2023-11-19,692,22.733245729303547,86.72,1,2005,Associate Degree,4,True,16,2022-08-09,1,7.391590013140604
5607,Competitive,2023-08-30,1,Left,full-time,Bartender,36.5,106132,2025-07-01,2025-07-01,671,22.043363994743757,90.04,1,2003,High School,4,True,20,2024-07-28,1,10.939553219448094
5071,Competitive,2022-02-16,1,Left,part-time,Bartender,20.7,100871,2023-10-20,2023-10-20,611,20.07227332457293,93.36,1,2006,Bachelor,3,True,16,2022-08-08,1,5.683311432325887
5541,Competitive,2023-08-20,1,Left,full-time,Bartender,41.9,105511,2025-03-18,2025-03-18,576,18.922470433639948,81.76,1,2007,High School,2,True,16,2023-10-16,1,1.8725361366622864
5150,Minimum,2021-07-15,1,Left,full-time,Bartender,43.8,101619,2023-01-09,2023-01-09,543,17.83837056504599,88.16,1,1995,Bachelor,3,True,26,2022-02-13,1,6.9973718791064385
5598,Premium,2022-10-30,1,Fired,part-time,Bartender,20.6,105986,2024-03-31,2024-03-31,518,17.017082785808146,93.01,1,1990,Bachelor,3,True,32,2023-03-28,1,4.894875164257556
5109,Premium,2023-10-17,1,Left,full-time,Bartender,39.2,101210,2025-03-03,2025-03-03,503,16.52431011826544,75.96,1,2001,High School,6,True,22,,0,
5401,Minimum,2021-07-14,1,Left,full-time,Bartender,42.8,104268,2022-11-11,2022-11-11,485,15.932982917214192,75.45,1,1998,Bachelor,0,False,23,2021-09-16,1,2.102496714848883
5420,Minimum,2021-04-05,1,Left,part-time,Bartender,22.7,104425,2022-07-09,2022-07-09,460,15.111695137976346,83.94,1,1993,Bachelor,8,True,28,2021-07-18,1,3.416557161629435
5159,Competitive,2021-06-18,1,Left,full-time,Bartender,41.4,101729,2022-09-10,2022-09-10,449,14.750328515111695,76.11,1,1998,High School,0,False,23,2022-01-06,1,6.636005256241787
5354,Competitive,2022-04-27,1,Left,full-time,Bartender,38.3,103764,2023-07-08,2023-07-08,437,14.35611038107753,78.32,1,1999,Associate Degree,4,True,23,2022-11-05,1,6.307490144546649
5091,Minimum,2021-01-23,1,Left,part-time,Bartender,21.1,101058,2022-03-22,2022-03-22,423,13.896189224704337,83.48,1,1999,Associate Degree,2,True,22,,0,
5979,Minimum,2024-07-01,1,Left,full-time,Bartender,40.6,109876,2025-08-11,2025-08-11,406,13.337713534822601,67.47,1,2001,Associate Degree,6,True,23,2024-07-21,1,0.657030223390276
5912,Minimum,2021-09-27,1,Left,full-time,Bartender,40.6,109234,2022-10-27,2022-10-27,395,12.976346911957949,91.94,1,2000,Bachelor,3,True,21,,0,
5622,Competitive,2022-08-07,1,Left,part-time,Bartender,22.0,106270,2023-08-31,2023-08-31,389,12.779237844940866,78.83,1,2004,Associate Degree,2,True,18,,0,
5407,Competitive,2023-02-12,1,Left,full-time,Bartender,40.1,104325,2024-02-22,2024-02-22,375,12.319316688567673,79.22,1,2007,High School,2,True,16,,0,
5732,Competitive,2023-11-11,1,Left,full-time,Bartender,41.2,107330,2024-11-05,2024-11-05,360,11.826544021024967,87.62,1,1989,Bachelor,2,True,34,2024-01-12,1,2.0367936925098555
5019,Premium,2022-03-20,1,Left,part-time,Bartender,21.0,100170,2023-02-27,2023-02-27,344,11.300919842312746,68.57,1,1997,High School,6,True,25,,0,
5942,Minimum,2024-10-24,1,Left,full-time,Bartender,39.5,109489,2025-09-20,2025-09-20,331,10.873850197109066,77.82,1,2001,Bachelor,6,True,23,,0,
5151,Competitive,2022-02-11,1,Left,full-time,Bartender,39.7,101630,2022-12-30,2022-12-30,322,10.578186596583443,95.6,1,2003,Bachelor,3,True,19,2022-05-21,1,3.252299605781866
5128,Competitive,2024-03-25,1,Left,part-time,Bartender,20.5,101402,2025-02-04,2025-02-04,316,10.38107752956636,79.17,1,2001,High School,3,True,23,,0,
5072,Minimum,2022-06-30,1,Fired,full-time,Server,38.8,100875,2023-05-08,2023-05-08,312,10.249671484888305,69.94,1,2004,Associate Degree,1,True,18,2022-07-30,1,0.9855453350854139
5136,Competitive,2022-03-25,1,Left,full-time,Server,39.5,101489,2023-01-18,2023-01-18,299,9.822601839684625,88.67,1,1998,Associate Degree,2,True,24,,0,
5683,Competitive,2023-01-12,1,Left,full-time,Server,37.6,106897,2023-10-29,2023-10-29,290,9.526938239159001,72.78,1,2005,High School,1,True,18,,0,
5818,Minimum,2024-11-21,1,Left,full-time,Server,40.6,108132,2025-08-30,2025-08-30,282,9.264126149802891,74.83,1,2002,Master,1,True,22,2025-01-27,1,2.2010512483574245
5227,Minimum,2024-01-02,1,Left,part-time,Server,22.1,102387,2024-10-05,2024-10-05,277,9.099868593955321,87.77,1,2005,High School,2,True,19,,0,
5513,Competitive,2023-04-06,1,Left,part-time,Server,19.5,105229,2024-01-02,2024-01-02,271,8.902759526938238,87.88,1,1999,Bachelor,3,True,24,,0,
5821,Premium,2022-06-08,1,Left,part-time,Server,17.6,108148,2023-02-27,2023-02-27,264,8.672798948751643,85.9,1,1999,Associate Degree,4,True,23,,0,
5217,Premium,2025-04-05,1,Left,full-time,Server,38.8,102300,2025-12-18,2025-12-18,257,8.442838370565045,83.5,1,1992,High School,3,True,33,,0,
5841,Competitive,2024-03-06,1,Left,full-time,Server,35.4,108385,2024-11-11,2024-11-11,250,8.21287779237845,83.79,1,1999,Master,2,True,25,2024-03-20,1,0.45992115637319314
5902,Competitive,2023-01-14,1,Left,full-time,Server,36.2,109109,2023-09-15,2023-09-15,244,8.015768725361367,77.68,1,2002,Bachelor,1,True,21,2023-01-20,1,0.19710906701708278
5163,Competitive,2023-02-15,1,Left,full-time,Server,39.7,101757,2023-10-12,2023-10-12,239,7.851511169513797,75.18,1,1998,Bachelor,0,False,25,2023-03-26,1,1.281208935611038
5906,Premium,2023-06-25,1,Left,part-time,Server,18.4,109146,2024-02-15,2024-02-15,235,7.720105124835742,76.42,1,2007,High School,2,True,16,,0,
5034,Minimum,2021-12-02,1,Left,part-time,Server,19.2,100361,2022-07-21,2022-07-21,231,7.588699080157687,73.0,1,1986,Associate Degree,8,True,35,,0,
5316,Minimum,2025-03-30,1,Left,part-time,Server,18.6,103469,2025-11-10,2025-11-10,225,7.391590013140604,84.32,1,2000,Associate Degree,2,True,25,,0,
5795,Competitive,2021-10-06,1,Left,full-time,Server,37.7,107921,2022-05-16,2022-05-16,222,7.293035479632063,77.08,1,2005,Associate Degree,3,True,16,,0,
5561,Premium,2025-02-09,1,Left,full-time,Server,38.3,105654,2025-09-13,2025-09-13,216,7.09592641261498,71.53,1,2002,Bachelor,5,True,23,,0,
5511,Competitive,2024-11-25,1,Left,full-time,Server,38.4,105209,2025-06-25,2025-06-25,212,6.964520367936925,81.57,1,1997,Master,0,False,27,,0,
5447,Minimum,2025-01-28,1,Left,full-time,Server,40.2,104641,2025-08-25,2025-08-25,209,6.865965834428383,97.29,1,2001,Bachelor,3,True,24,,0,
5162,Competitive,2025-03-11,1,Left,part-time,Server,19.6,101753,2025-10-04,2025-10-04,207,6.800262812089356,82.35,1,1985,High School,2,True,40,,0,
5688,Competitive,2024-04-25,1,Left,part-time,Server,20.4,106963,2024-11-13,2024-11-13,202,6.636005256241787,68.78,1,2000,Associate Degree,5,True,24,,0,
5384,Minimum,2024-07-13,1,Left,part-time,Server,20.6,104137,2025-01-26,2025-01-26,197,6.471747700394218,65.52,1,1998,Associate Degree,9,True,26,,0,
5796,Competitive,2021-04-04,1,Left,full-time,Server,36.4,107934,2021-10-15,2021-10-15,194,6.3731931668856765,96.28,1,1999,Bachelor,3,True,22,,0,
6002,Minimum,2025-01-06,1,Left,full-time,Server,39.6,109976,2025-07-13,2025-07-13,188,6.176084099868594,67.22,1,1990,High School,1,True,35,,0,
5029,Competitive,2021-01-02,1,Fired,full-time,Server,37.6,100304,2021-07-06,2021-07-06,185,6.077529566360052,80.28,1,1989,Bachelor,7,True,32,,0,
5063,Minimum,2024-11-20,1,Fired,full-time,Server,38.6,100778,2025-05-21,2025-05-21,182,5.978975032851511,82.62,1,2000,Associate Degree,2,True,24,,0,
6059,Competitive,2025-04-30,1,Left,part-time,Server,22.5,110455,2025-10-25,2025-10-25,178,5.847568988173456,84.59,1,2005,High School,2,True,20,,0,
5223,Premium,2022-09-16,1,Left,part-time,Server,18.9,102349,2023-03-10,2023-03-10,175,5.7490144546649145,70.96,1,2005,Associate Degree,0,False,17,,0,
5990,Competitive,2022-08-14,1,Left,part-time,Server,20.5,109934,2023-01-31,2023-01-31,170,5.5847568988173455,70.06,1,2000,Associate Degree,2,True,22,,0,
5820,Premium,2022-09-14,1,Left,full-time,Server,38.5,108138,2023-02-27,2023-02-27,166,5.45335085413929,78.67,1,1996,Bachelor,2,True,26,,0,
5262,Competitive,2023-10-01,1,Left,full-time,Server,39.2,102798,2024-03-11,2024-03-11,162,5.321944809461235,70.6,1,2006,Associate Degree,2,True,17,,0,
5888,Competitive,2025-01-10,1,Left,full-time,Server,39.6,108923,2025-06-17,2025-06-17,158,5.19053876478318,76.47,1,2002,High School,2,True,23,,0,
6025,Minimum,2024-08-14,1,Left,full-time,Server,41.5,110151,2025-01-14,2025-01-14,153,5.026281208935611,70.87,1,2001,Associate Degree,8,True,23,,0,
5664,Competitive,2021-03-13,1,Left,part-time,Server,17.2,106723,2021-08-09,2021-08-09,149,4.894875164257556,84.19,1,1999,Associate Degree,2,True,22,,0,
5221,Competitive,2023-03-25,1,Left,part-time,Server,19.8,102328,2023-08-19,2023-08-19,147,4.829172141918528,82.64,1,2003,Bachelor,2,True,20,,0,
5050,Minimum,2023-04-15,1,Left,part-time,Server,19.7,100625,2023-09-06,2023-09-06,144,4.730617608409987,79.9,1,2001,Bachelor,3,True,22,,0,
5939,Minimum,2022-05-21,1,Left,full-time,Server,35.7,109466,2022-10-08,2022-10-08,140,4.599211563731932,61.24,1,2006,Associate Degree,0,False,16,,0,
5287,Competitive,2022-05-12,1,Left,full-time,Server,37.4,103077,2022-09-27,2022-09-27,138,4.533508541392904,83.95,1,2000,Bachelor,3,True,22,,0,
5812,Premium,2022-07-31,1,Left,full-time,Server,37.5,108090,2022-12-13,2022-12-13,135,4.434954007884363,73.19,1,2003,High School,5,True,19,,0,
5769,Competitive,2021-02-18,1,Fired,full-time,Server,37.5,107705,2021-06-27,2021-06-27,129,4.23784494086728,85.86,1,1988,Bachelor,2,True,33,,0,
5512,Competitive,2025-01-23,1,Left,part-time,Server,15.9,105227,2025-05-27,2025-05-27,124,4.073587385019711,76.97,1,1999,High School,4,True,26,,0,
5220,Competitive,2024-04-21,1,Left,part-time,Server,20.7,102317,2024-08-18,2024-08-18,119,3.9093298291721417,81.03,1,2001,Associate Degree,4,True,23,,0,
6023,Competitive,2021-11-04,1,Left,part-time,Server,20.0,110133,2022-03-01,2022-03-01,117,3.843626806833114,84.37,1,1992,Bachelor,1,True,29,,0,
5698,Minimum,2022-07-02,1,Left,full-time,Server,37.3,107024,2022-10-26,2022-10-26,116,3.8107752956636003,70.71,1,2006,Associate Degree,2,True,16,,0,
5293,Minimum,2023-11-13,1,Left,full-time,Server,36.5,103197,2024-03-05,2024-03-05,113,3.712220762155059,77.1,1,1999,Bachelor,6,True,24,,0,
5240,Minimum,2023-11-13,1,Left,full-time,Server,39.3,102538,2024-03-03,2024-03-03,111,3.6465177398160313,84.06,1,1998,Bachelor,2,True,25,,0,
5563,Competitive,2024-11-12,1,Fired,full-time,Server,39.3,105674,2025-02-28,2025-02-28,108,3.54796320630749,65.98,1,1996,Associate Degree,1,True,28,,0,
5115,Premium,2024-10-29,1,Left,part-time,Server,23.1,101248,2025-02-12,2025-02-12,106,3.4822601839684624,79.26,1,2007,High School,2,True,17,,0,
5835,Competitive,2023-06-13,1,Fired,part-time,Server,20.2,108352,2023-09-26,2023-09-26,105,3.4494086727989486,78.5,1,2005,Associate Degree,3,True,18,,0,
5432,Premium,2023-11-23,1,Left,part-time,Server,20.9,104516,2024-03-05,2024-03-05,103,3.383705650459921,74.95,1,2006,High School,3,True,17,,0,
5508,Competitive,2024-09-29,1,Left,full-time,Server Assistant,36.0,105204,2025-01-07,2025-01-07,100,3.2851511169513796,58.59,1,2005,Associate Degree,1,True,19,,0,
5982,Competitive,2022-04-03,1,Left,full-time,Server Assistant,33.3,109892,2022-07-10,2022-07-10,98,3.219448094612352,78.78,1,2005,Associate Degree,3,True,17,,0,
5037,Competitive,2022-07-14,1,Left,full-time,Server Assistant,35.2,100398,2022-10-18,2022-10-18,96,3.1537450722733245,70.35,1,2006,Associate Degree,2,True,16,,0,
5651,Competitive,2024-02-26,1,Left,part-time,Server Assistant,18.0,106570,2024-05-29,2024-05-29,93,3.055190538764783,68.25,1,1994,Bachelor,0,False,30,,0,
5530,Minimum,2022-01-09,1,Left,part-time,Server Assistant,16.5,105353,2022-04-09,2022-04-09,90,2.9566360052562417,80.12,1,2003,Master,1,True,19,,0,
5349,Competitive,2025-09-17,1,Left,part-time,Server Assistant,17.3,103722,2025-12-13,2025-12-13,87,2.8580814717477003,84.28,1,1998,High School,4,True,27,,0,
5829,Competitive,2021-01-20,1,Left,full-time,Server Assistant,34.4,108217,2021-04-16,2021-04-16,86,2.8252299605781865,85.06,1,1997,High School,2,True,24,,0,
5201,Competitive,2025-08-14,1,Fired,full-time,Server Assistant,34.7,102150,2025-11-06,2025-11-06,84,2.759526938239159,64.62,1,2002,High School,0,False,23,,0,
5265,Competitive,2021-09-17,1,Left,full-time,Server Assistant,34.3,102843,2021-12-08,2021-12-08,82,2.6938239159001314,74.25,1,2002,Bachelor,0,False,19,,0,
6050,Competitive,2021-02-27,1,Left,part-time,Server Assistant,18.5,110347,2021-05-19,2021-05-19,81,2.6609724047306176,93.88,1,2000,Master,3,True,21,,0,
5355,Competitive,2025-08-07,1,Left,part-time,Server Assistant,18.1,103765,2025-10-23,2025-10-23,77,2.5295663600525624,67.87,1,2001,Associate Degree,0,False,24,,0,
5376,Competitive,2022-08-25,1,Left,part-time,Server Assistant,17.5,104035,2022-11-09,2022-11-09,76,2.4967148488830486,79.79,1,2006,High School,3,True,16,,0,
5404,Premium,2024-04-08,1,Left,full-time,Server Assistant,35.9,104284,2024-06-21,2024-06-21,74,2.431011826544021,74.66,1,1998,Master,0,False,26,,0,
5806,Competitive,2022-02-20,1,Left,full-time,Server Assistant,32.2,108014,2022-05-04,2022-05-04,73,2.3981603153745072,81.77,1,2005,Bachelor,2,True,17,,0,
5596,Minimum,2021-06-17,1,Left,full-time,Server Assistant,34.0,105969,2021-08-26,2021-08-26,70,2.299605781865966,81.18,1,1998,Bachelor,0,False,23,,0,
5064,Competitive,2021-04-28,1,Left,part-time,Server Assistant,18.4,100785,2021-07-04,2021-07-04,67,2.2010512483574245,59.23,1,2002,Associate Degree,7,True,19,,0,
5627,Competitive,2025-04-20,1,Left,part-time,Server Assistant,19.2,106325,2025-06-24,2025-06-24,65,2.135348226018397,76.63,1,2006,High School,2,True,19,,0,
5393,Minimum,2024-10-16,1,Left,part-time,Server Assistant,16.7,104194,2024-12-18,2024-12-18,63,2.0696452036793693,80.06,1,1998,Bachelor,3,True,26,,0,
5236,Competitive,2021-05-25,1,Left,full-time,Server Assistant,35.0,102522,2021-07-26,2021-07-26,62,2.0367936925098555,90.63,1,1998,Master,3,True,23,,0,
5803,Minimum,2025-08-03,1,Left,full-time,Server Assistant,34.2,107999,2025-09-30,2025-09-30,58,1.9053876478318001,72.19,1,1993,Bachelor,7,True,32,,0,
5886,Competitive,2024-12-02,1,Left,full-time,Server Assistant,32.8,108920,2025-01-28,2025-01-28,57,1.8725361366622864,69.72,1,2002,High School,1,True,22,,0,
5894,Minimum,2023-03-20,1,Left,part-time,Server Assistant,19.8,109038,2023-05-15,2023-05-15,56,1.8396846254927726,79.84,1,2005,Associate Degree,2,True,18,,0,
5385,Minimum,2024-05-23,1,Fired,part-time,Server Assistant,20.1,104138,2024-07-14,2024-07-14,52,1.7082785808147174,74.98,1,2000,Associate Degree,3,True,24,,0,
5567,Premium,2023-01-03,1,Left,part-time,Server Assistant,18.2,105699,2023-02-23,2023-02-23,51,1.6754270696452036,78.48,1,2000,Bachelor,2,True,23,,0,
5761,Competitive,2024-11-25,1,Left,full-time,Server Assistant,35.4,107608,2025-01-13,2025-01-13,49,1.609724047306176,85.18,1,1981,Bachelor,2,True,43,,0,
5440,Minimum,2025-05-09,1,Fired,full-time,Server Assistant,33.3,104588,2025-06-25,2025-06-25,47,1.5440210249671484,76.59,1,2005,Associate Degree,3,True,20,,0,
5690,Competitive,2023-09-20,1,Left,full-time,Server Assistant,35.9,106978,2023-11-04,2023-11-04,45,1.4783180026281209,84.23,1,2006,Bachelor,3,True,17,,0,
5002,Competitive,2022-05-12,1,Left,part-time,Server Assistant,18.7,100017,2022-06-25,2022-06-25,44,1.445466491458607,95.75,1,2004,Master,2,True,18,,0,
5763,Premium,2024-11-07,1,Left,part-time,Server Assistant,19.8,107639,2024-12-19,2024-12-19,42,1.3797634691195795,87.44,1,2002,Bachelor,4,True,22,,0,
5026,Competitive,2024-04-25,1,Left,part-time,Server Assistant,17.0,100263,2024-06-04,2024-06-04,40,1.314060446780552,86.01,1,1999,Bachelor,2,True,25,,0,
5612,Competitive,2022-12-20,1,Left,full-time,Server Assistant,36.6,106179,2023-01-28,2023-01-28,39,1.281208935611038,76.76,1,2004,Associate Degree,2,True,18,,0,
5715,Competitive,2023-01-09,1,Fired,full-time,Server Assistant,34.2,107185,2023-02-13,2023-02-13,35,1.149802890932983,61.4,1,2000,High School,0,False,23,,0,
5242,Competitive,2022-08-22,1,Left,full-time,Server Assistant,36.0,102564,2022-09-24,2022-09-24,33,1.0840998685939554,72.2,1,2003,High School,5,True,19,,0,
5719,Competitive,2024-07-23,1,Fired,part-time,Server Assistant,16.7,107210,2024-08-24,2024-08-24,32,1.0512483574244416,89.15,1,1993,Bachelor,3,True,31,,0,
6014,Minimum,2021-01-04,1,Fired,part-time,Server Assistant,18.3,110046,2021-02-03,2021-02-03,30,0.9855453350854139,65.98,1,2004,Associate Degree,5,True,17,,0,
5855,Competitive,2021-09-16,1,Fired,part-time,Server Assistant,19.0,108491,2021-10-14,2021-10-14,28,0.9198423127463863,62.52,1,2001,High School,0,False,20,,0,
5158,Competitive,2022-10-08,1,Left,full-time,Server Assistant,36.3,101716,2022-11-04,2022-11-04,27,0.8869908015768725,88.87,1,1999,Bachelor,4,True,23,,0,
5487,Minimum,2025-11-29,1,Left,full-time,Server Assistant,32.9,105051,2025-12-24,2025-12-24,25,0.8212877792378449,82.26,1,2005,High School,4,True,20,,0,
5485,Minimum,2022-06-20,1,Left,full-time,Server Assistant,33.7,105004,2022-07-13,2022-07-13,23,0.7555847568988173,62.53,1,1999,Associate Degree,1,True,23,,0,
5297,Competitive,2021-09-06,1,Fired,part-time,Server Assistant,17.9,103220,2021-09-28,2021-09-28,22,0.7227332457293035,68.61,1,2000,Associate Degree,1,True,21,,0,
5699,Premium,2023-03-07,1,Left,part-time,Server Assistant,18.2,107038,2023-03-26,2023-03-26,19,0.6241787122207622,88.39,1,1995,Bachelor,4,True,28,,0,
5718,Competitive,2023-10-09,1,Left,part-time,Server Assistant,17.0,107201,2023-10-26,2023-10-26,17,0.5584756898817346,78.75,1,2000,Bachelor,3,True,23,,0,
5709,Competitive,2021-06-30,1,Left,full-time,Server Assistant,36.6,107102,2021-07-15,2021-07-15,15,0.49277266754270693,73.56,1,2003,Bachelor,1,True,18,,0,
5823,Premium,2023-09-01,1,Left,full-time,Server Assistant,35.5,108173,2023-09-15,2023-09-15,14,0.45992115637319314,61.98,1,2000,Associate Degree,1,True,23,,0,
5078,Competitive,2023-08-15,1,Left,full-time,Server Assistant,36.4,100914,2023-08-28,2023-08-28,13,0.42706964520367935,90.12,1,2006,Bachelor,2,True,17,,0,
5230,Competitive,2024-10-25,1,Fired,part-time,Server Assistant,18.5,102447,2024-11-05,2024-11-05,11,0.36136662286465177,76.95,1,2006,Associate Degree,2,True,18,,0,
5951,Competitive,2023-07-06,1,Left,part-time,Server Assistant,19.1,109548,2023-07-16,2023-07-16,10,0.328515111695138,62.06,1,2003,Associate Degree,0,False,20,,0,
6039,Competitive,2024-01-22,1,Left,part-time,Server Assistant,18.9,110259,2024-01-31,2024-01-31,9,0.2956636005256242,77.51,1,2000,Bachelor,0,False,24,,0,
5284,Competitive,2023-04-29,1,Left,full-time,Host,30.4,103029,2023-05-07,2023-05-07,8,0.2628120893561104,88.95,1,2006,High School,2,True,17,,0,
5787,Minimum,2025-03-09,1,Left,part-time,Host,14.6,107851,2025-03-16,2025-03-16,7,0.22996057818659657,70.88,1,1997,High School,4,True,28,,0,
5703,Minimum,2025-09-16,1,Left,full-time,Host,32.1,107071,2025-09-22,2025-09-22,6,0.19710906701708278,63.26,1,1999,Associate Degree,7,True,26,,0,
5269,Premium,2021-05-22,1,Left,part-time,Host,13.8,102863,2021-05-27,2021-05-27,5,0.164257555847569,83.63,1,1998,Bachelor,3,True,23,,0,
5521,Minimum,2024-12-27,1,Left,full-time,Host,30.8,105296,2024-12-31,2024-12-31,4,0.1314060446780552,75.65,1,1998,Bachelor,7,True,26,,0,
5241,Minimum,2023-05-14,1,Left,part-time,Host,14.8,102548,2023-05-17,2023-05-17,3,0.09855453350854139,61.29,1,2005,Associate Degree,0,False,18,,0,
5425,Minimum,2021-11-22,1,Left,full-time,Host,31.6,104480,2021-11-25,2021-11-25,3,0.09855453350854139,75.32,1,1993,Bachelor,1,True,28,,0,
5054,Competitive,2022-11-10,1,Left,part-time,Host,14.9,100664,2022-11-12,2022-11-12,2,0.0657030223390276,82.73,1,2003,High School,2,True,19,,0,
5778,Minimum,2025-11-26,1,Left,full-time,Host,33.4,107799,2025-11-28,2025-11-28,2,0.0657030223390276,81.77,1,2005,Bachelor,2,True,20,,0,
5341,Competitive,2023-09-27,1,Left,part-time,Host,14.8,103693,2023-09-28,2023-09-28,1,0.0328515111695138,68.48,1,2004,Bachelor,0,False,19,,0,
5774,Minimum,2025-03-25,1,Left,full-time,Host,30.9,107774,2025-03-26,2025-03-26,1,0.0328515111695138,76.24,1,2001,High School,2,True,24,,0,
5086,Premium,2021-10-31,1,Fired,part-time,Host,14.6,100981,2021-10-31,2021-10-31,0,0.0,79.21,1,2003,Bachelor,2,True,18,,0,
5324,Competitive,2022-06-30,1,Left,full-time,Host,32.0,103545,2022-06-30,2022-06-30,0,0.0,68.98,1,1999,Master,0,False,23,,0,
5753,Minimum,2024-10-27,1,Left,part-time,Host,15.3,107530,2024-10-27,2024-10-27,0,0.0,85.17,1,2002,Master,4,True,22,,0,
5388,Minimum,2022-10-14,2,Working,full-time,Manager,52.1,104157,,2026-03-14,1247,40.9658344283837,91.77,0,2001,Bachelor,3,True,21,2023-02-09,1,3.876478318002628
5372,Competitive,2024-03-03,2,Working,full-time,Manager,47.8,104006,,2026-03-14,741,24.342969776609724,71.09,0,2007,High School,0,False,17,2024-04-14,1,1.3797634691195795
5403,Competitive,2024-06-24,2,Working,full-time,Manager,50.0,104277,,2026-03-14,628,20.630749014454665,81.86,0,1995,Associate Degree,2,True,29,2024-09-16,1,2.759526938239159
5929,Competitive,2024-10-01,2,Working,full-time,Manager,49.8,109402,,2026-03-14,529,17.378449408672797,70.22,0,2004,High School,1,True,20,,0,
5905,Minimum,2024-12-16,2,Working,full-time,Manager,47.8,109140,,2026-03-14,453,14.88173455978975,82.19,0,2001,Associate Degree,4,True,23,2025-03-02,1,2.4967148488830486
